TITLE|ISSN|ISBN|START_DATE|END_DATE|PROVIDER|URL|EMBARGO|ENUMCAPTION1|ENUMSTART1|ENUMEND1|ENUMCAPTION2|ENUMSTART2|ENUMEND2
Current medical literature. Breast cancer|0956-6511||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=Q35&amp;scope=site|0|Volume|undef||Issue|undef||
Bioconjugate chemistry|1043-1802||19960101||American Chemical Society Journals|http://pubs.acs.org/loi/bcches|0|Volume|7||Issue|1||
International planning studies|1356-3475||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=cips20&amp;genre=journal|365|Volume|undef||Issue|undef||
The new criterion|0734-0222||19930101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://vnweb.hwwilsonweb.com/hww/Journals/getIssues.jhtml?sid=HWW%3AARTFT&amp;issn=0734-0222|0|Volume|undef||Issue|undef||
The Journal of college admissions|0734-6670||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=D4T&amp;scope=site|0|Volume|undef||Issue|undef||
Family matters|1030-2646||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.lexisnexis.com/hottopics/lnacademic?sterms=PUBLICATION(Family+matters)&amp;verb=sr&amp;csi=299488|0|Volume|undef||Issue|undef||
Current medicinal chemistry. Anti-cancer agents|1568-0118||20010101|20051231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=N7C&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Native studies review|0831-585X||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=HOQ&amp;scope=site|0|Volume|undef||Issue|undef||
Molecular therapy|1525-0016||20000101||Nature|http://proxy.library.brocku.ca/login?url=http://www.nature.com/mt/archive/index.html|0|Volume|1||Issue|undef||
British Journal of Cancer|0007-0920||19990101||Nature|http://proxy.library.brocku.ca/login?url=http://www.pubmedcentral.gov/tocrender.fcgi?action=archive&amp;journal=334|0|Volume|79||Issue|1||
Physical review|0031-899X||19130101|19691231|American Physical Society [PROLA]|http://proxy.library.brocku.ca/login?url=http://prola.aps.org/browse?journal=PR|0|Volume|1|188|Issue|1|5|
Current HIV research|1570-162X||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=S2M&amp;scope=site|365|Volume|undef||Issue|undef||
Case Western Reserve journal of international law|0008-7254||19900101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Case+Western+Reserve+journal+of+international+law&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D14319&amp;genre=journal|0|Volume|undef||Issue|undef||
Journal of human genetics|1434-5161||19980101||Nature|http://proxy.library.brocku.ca/login?url=http://www.nature.com/jhg/archive/index.html|0|Volume|43||Issue|1||
HPB|1365-182X||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=J3A&amp;scope=site|365|Volume|undef||Issue|undef||
KM world|1099-8284||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=KM+world&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D47708&amp;genre=journal|0|Volume|undef||Issue|undef||
The journal of adhesion|0021-8464||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=gadh20&amp;genre=journal|365|Volume|undef||Issue|undef||
Cinéaste|0009-7004||19900101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://vnweb.hwwilsonweb.com/hww/Journals/getIssues.jhtml?sid=HWW%3AARTFT&amp;issn=0009-7004|0|Volume|undef||Issue|undef||
Supramolecular chemistry|1061-0278||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=gsch20&amp;genre=journal|365|Volume|undef||Issue|undef||
Cinema journal|0009-7101||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://vnweb.hwwilsonweb.com/hww/Journals/getIssues.jhtml?sid=HWW%3AARTFT&amp;issn=0009-7101|365|Volume|undef||Issue|undef||
Early science and medicine|1383-7427||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/13837427.html|365|Volume|undef||Issue|undef||
Personal relationships|1350-4126||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.blackwell-synergy.com/openurl?issn=1350-4126&amp;genre=journal|365|Volume|undef||Issue|undef||
Widener journal of public law|1064-5012||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.lexisnexis.com/hottopics/lnacademic?sterms=PUBLICATION(Widener+journal+of+public+law)&amp;verb=sr&amp;csi=155885|0|Volume|undef||Issue|undef||
Journal of Biosocial Science|0021-9320||19970101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=JBS|0|Volume|29||Issue|1||
Bulletin of the Menninger Clinic|0025-9284||19900101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=BMC&amp;scope=site|0|Volume|undef||Issue|undef||
Medium Aevum|0025-8385||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;res_dat=xri:pao-us&amp;issn=00258385|0|Volume|undef||Issue|undef||
Nutrition reviews|0029-6643||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0029-6643&amp;genre=journal|365|Volume|undef||Issue|undef||
